time,addr,bus,data
802.2916953189999,4099,CarState,002712
802.2916953189999,4096,CarState,0000000000000000
802.297153913,542,1,b52568ec700010d6
802.297153913,543,1,b505c806400000f1
802.297153913,464,0,0000100000a2008b
802.297153913,544,1,b5000000000000df
802.297153913,464,130,0000100000a2008b
802.297153913,545,1,b5000000000000e0
802.297153913,546,1,b50064000004044d
802.297153913,547,1,b5000000000000e2
802.297153913,548,1,b5000000000000e3
802.297153913,549,1,b5000000000404ec
802.297153913,740,128,ff000000ea
802.297153913,170,0,1a6f1a6f1a6f1a6f
802.297153913,170,130,1a6f1a6f1a6f1a6f
802.297153913,849,0,00000000
802.297153913,849,130,00000000
802.297153913,513,0,01ec03d50a6d
802.297153913,513,130,01ec03d50a6d
802.297153913,552,0,800000ae
802.297153913,552,130,800000ae
802.297153913,467,0,00a8418100000046
802.297153913,467,130,00a8418100000046
802.297153913,530,1,b5043200e80001f0
802.297153913,531,1,b5fff800000000c9
802.297153913,532,1,b5fff800000000ca
802.297153913,533,1,b51c90f2c0000133
802.297153913,534,1,b5fff800000000cc
802.297153913,535,1,b5fff800000000cd
802.297153913,536,1,b5087e0420001899
802.297153913,537,1,b5042e00e00001eb
802.297153913,538,1,b5177adea00000e8
802.297153913,539,1,b509f4ecc0000083
802.297153913,540,1,b50c52054000007e
802.297153913,541,1,b52090f4600000e0
802.301652558,4097,CarState,ffffffff00000000
802.301652558,4098,CarState,ffffd8f000000fce
802.301652558,4099,CarState,002712
802.301652558,4096,CarState,0000000000000000
802.307182402,180,0,00000000cc000088
802.307182402,180,130,00000000cc000088
802.307182402,37,0,0ff9000040000075
802.307182402,37,0,0ff9000040000075
802.307182402,37,130,0ff9000040000075
802.307182402,37,130,0ff9000040000075
802.307182402,547,0,000000000000002d
802.307182402,547,130,000000000000002d
802.307182402,36,0,020001f1420380e5
802.307182402,36,0,020001f1420380e5
802.307182402,36,130,020001f1420380e5
802.307182402,36,130,020001f1420380e5
802.307182402,740,128,810000006c
802.307182402,550,1,b5000000000000e5
802.307182402,836,128,0000010000000050
802.307182402,551,1,b5000000000000e6
802.307182402,740,2,8600000071
802.307182402,705,0,00022701a4d1006a
802.307182402,552,1,b5fe3c7244d5
802.307182402,705,130,00022701a4d1006a
802.307182402,553,1,b500646244f0
802.307182402,608,0,0800040000000076
802.307182402,608,130,0800040000000076
802.307182402,170,0,1a6f1a6f1a6f1a6f
802.307182402,554,1,b50600c244f3
802.307182402,170,130,1a6f1a6f1a6f1a6f
802.307182402,555,1,b5fe0090c83e
802.307182402,556,1,b50003a048d4
802.307182402,557,1,b5f203b048d7
802.307182402,558,1,b50000a048d3
802.307182402,559,1,b5fe0092c844
802.307182402,452,0,043d1c0800004072
802.307182402,452,130,043d1c0800004072
802.307182402,560,1,b57fff3eb90063
802.307182402,561,1,b501f5f2000003db
802.307182402,562,1,b500fe00fe00feeb
802.307182402,186,0,01f100b0
802.307182402,186,130,01f100b0
802.307182402,548,0,0000000000000008
802.307182402,548,130,0000000000000008
802.307182402,513,0,01ed03d50bd0
802.307182402,321,129,00000046
802.307182402,513,130,01ed03d50bd0
802.307182402,512,128,0000000000a9
802.307182402,800,0,0001ff000000002b
802.307182402,800,130,0001ff000000002b
802.307182402,610,0,0000000b74
802.307182402,610,130,0000000b74
802.307182402,832,1,5d03ff00000000aa
802.307182402,833,1,5d03ff00000000ab
802.307182402,834,1,5d03ff00000000ac
802.307182402,835,1,5d03ff00000000ad
802.307182402,836,1,5d03ff00000000ae
802.307182402,869,128,00000080fc0008
802.307182402,870,128,007207ff09fe00
802.307182402,1042,128,68040c00002c3802
802.307182402,1041,128,0020000010008000
802.307182402,1227,128,0c00000000000000
802.307182402,896,0,80a0400800002100
802.307182402,896,130,80a0400800002100
802.307182402,1779,0,2000000000000000
802.307182402,1779,130,2000000000000000
802.314156986,4100,UbloxGnss,000001fb08511210
802.317173183,170,0,1a6f1a6f1a6f1a6f
802.317173183,170,130,1a6f1a6f1a6f1a6f
802.317173183,552,0,800000ae
802.317173183,552,130,800000ae
802.317173183,426,0,0000000000b1
802.317173183,426,130,0000000000b1
802.317173183,837,1,5d03ff00000000af
802.317173183,867,1,5df92a06d60000ca
802.317173183,868,1,5d000008000000d4
802.317173183,869,1,5d000000000000cd
802.317173183,880,1,5d07ff00000000de
802.319475736,4097,CarState,ffffffff00000000
802.319475736,4098,CarState,ffffd88b0000101e
802.319475736,4099,CarState,002712
802.319475736,4096,CarState,0000000000000000
802.323761204,4097,CarState,ffffffff00000000
802.323761204,4098,CarState,ffffd88b0000101e
802.323761204,4099,CarState,002712
802.323761204,4096,CarState,0000000000000000
802.327165788,180,0,00000000cc000088
802.327165788,180,130,00000000cc000088
802.327165788,37,0,0ff9000050000085
802.327165788,37,130,0ff9000050000085
802.327165788,547,0,000000000000002d
802.327165788,547,130,000000000000002d
802.327165788,36,0,020001f1420580e7
802.327165788,36,130,020001f1420580e7
802.327165788,740,128,830000006e
802.327165788,740,128,8500000070
802.327165788,296,129,f40190830037
802.327165788,835,128,fb1063c00000007c
802.327165788,643,128,0000000000008c
802.327165788,608,0,0800040000000076
802.327165788,608,130,0800040000000076
802.327165788,321,129,00000046
802.327165788,512,128,00000000011f
802.327165788,466,0,f830f4ec02e6703b
802.327165788,466,130,f830f4ec02e6703b
802.327165788,576,1,6000100100100100
802.327165788,577,1,6000100100100100
802.327165788,580,1,6000100100100100
802.327165788,581,1,6000100100100100
802.327165788,584,1,6000010000000001
802.327165788,467,0,00a8418100000046
802.327165788,467,130,00a8418100000046
802.327165788,881,1,5d07ff00000000df
802.327165788,882,1,5d07ff00000000e0
802.327165788,883,1,5d07ff00000000e1
802.327165788,884,1,5d02c60718603154
802.327165788,885,1,5d003200066144ba
802.327165788,896,1,5d000000000000e8
802.327165788,897,1,5d000000000000e9
802.327165788,898,1,5d000082000052be
802.327165788,899,1,5d7bd68660c000e2
802.33217235,4097,CarState,ffffffff00000000
802.33217235,4098,CarState,ffffd8f00000101e
802.33217235,4099,CarState,002712
